Catalog ID,MW,Formula,Chemical name,Smiles,Type
Z3489903955,345.3665,C13H12FNO5S2,3-(4-methylbenzenesulfonamido)phenyl sulfurofluoridate,CC=1C=CC(=CC1)S(=O)(=O)NC=2C=CC=C(C2)OS(=O)(=O)F,FS
Z4343777755,329.4334,C15H24FN3O2S,"2-{[(2,4-dimethylpyrimidin-5-yl)methyl](3-methylcyclopentyl)amino}ethane-1-sulfonyl fluoride",CC=1N=CC(CN(CCS(=O)(=O)F)C2CCC(C)C2)=C(C)N1,SuFEx
Z3305234780,381.8489,C18H17ClFNO3S,3-({1-[(4-chlorophenyl)methyl]cyclobutyl}carbamoyl)benzene-1-sulfonyl fluoride,O=C(NC1(CC=2C=CC(Cl)=CC2)CCC1)C=3C=CC=C(C3)S(=O)(=O)F,SuFEx
Z2907410050,321.3881,C12H16FNO4S2,2-methyl-5-(piperidine-1-sulfonyl)benzene-1-sulfonyl fluoride,CC=1C=CC(=CC1S(=O)(=O)F)S(=O)(=O)N2CCCCC2,SuFEx
Z3292075605,367.7792,C16H11ClFNO4S,3-{[(2-chloro-1-benzofuran-3-yl)methyl]carbamoyl}benzene-1-sulfonyl fluoride,O=C(NCC1=C(Cl)OC=2C=CC=CC12)C=3C=CC=C(C3)S(=O)(=O)F,SuFEx
Z4262427163,329.3075,C11H12FN5O4S,"5-{[1-(propan-2-yl)-1H-1,2,4-triazol-5-yl]carbamoyl}pyridin-3-yl sulfurofluoridate",CC(C)N1N=CN=C1NC(=O)C=2C=NC=C(C2)OS(=O)(=O)F,FS
Z3292075696,338.3573,C14H15FN4O3S,"4-{[(1-cyclobutyl-1H-1,2,3-triazol-4-yl)methyl]carbamoyl}benzene-1-sulfonyl fluoride",O=C(NCC1=CN(N=N1)C2CCC2)C=3C=CC(=CC3)S(=O)(=O)F,SuFEx
Z3489903974,364.3449,C17H13FO6S,3-(4-methoxyphenyl)-2-methyl-4-oxo-4H-chromen-7-yl sulfurofluoridate,COC=1C=CC(=CC1)C=2C(=O)C=3C=CC(=CC3OC2C)OS(=O)(=O)F,FS
Z3489903949,335.307,C15H10FNO5S,"2-benzyl-1,3-dioxo-2,3-dihydro-1H-isoindol-4-yl sulfurofluoridate",O=C1C=2C=CC=C(OS(=O)(=O)F)C2C(=O)N1CC=3C=CC=CC3,FS
Z4332080283,342.3427,C14H15FN2O5S,4-({methyl[(3-methylfuran-2-yl)methyl]carbamoyl}amino)phenyl sulfurofluoridate,CC=1C=COC1CN(C)C(=O)NC=2C=CC(=CC2)OS(=O)(=O)F,FS
